uid expr treatment rep update lineage_label
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 10400 3.9074
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 10500 3.89743
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 10600 3.90385
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 10700 3.91143
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 10800 3.9247
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 10900 3.93632
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 11000 3.95887
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 11100 3.94254
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 11200 3.94864
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 11300 3.92335
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 11400 3.94471
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 11500 3.93759
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 11600 3.89316
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 11700 3.8966
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 11800 3.87881
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 11900 3.85875
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 12000 3.87047
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 12100 3.87268
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 12200 3.89053
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 12300 3.90857
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 12400 3.93403
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 12500 3.97572
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 12600 3.95857
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 12700 3.98706
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 12800 4.01036
