uid treatment rep update num_kabooms avg_hd
_10k-0002_68 10k-0002 68 100000 4984 1.43960674157
_10k-0002_69 10k-0002 69 100000 9250 2.20983783784
_10k-0002_70 10k-0002 70 100000 9861 2.26802555522
_10k-0002_71 10k-0002 71 100000 9431 2.27430813275
_10k-0002_72 10k-0002 72 100000 4935 1.38581560284
_10k-0002_73 10k-0002 73 100000 5107 1.44468376738
_10k-0002_74 10k-0002 74 100000 4891 1.34675935392
_10k-0002_75 10k-0002 75 100000 4914 1.42918192918
_10k-0002_76 10k-0002 76 100000 5019 1.44431161586
_10k-0002_77 10k-0002 77 100000 9418 1.23869186664
_10k-0002_78 10k-0002 78 100000 9592 2.26709758132
_10k-0002_79 10k-0002 79 100000 5100 1.40078431373
_10k-0002_80 10k-0002 80 100000 4963 1.38101954463
_10k-002_51 10k-002 51 100000 12138 3.0091448344
_10k-002_52 10k-002 52 100000 10643 2.93319552758
_10k-002_53 10k-002 53 100000 10576 2.93258320726
_10k-002_54 10k-002 54 100000 11069 3.12946065589
_10k-002_55 10k-002 55 100000 15712 3.12862780041
_10k-002_56 10k-002 56 100000 12524 2.78361545832
_10k-002_57 10k-002 57 100000 11509 2.9546441915
_10k-002_58 10k-002 58 100000 11121 3.24871864041
_10k-002_59 10k-002 59 100000 9964 2.7348454436
_10k-002_60 10k-002 60 100000 11441 3.36814963727
_10k-002_61 10k-002 61 100000 9309 3.90901278333
_10k-002_62 10k-002 62 100000 15376 2.91987513007
_10k-002_63 10k-002 63 100000 4512 4.54432624113
_10k-002_64 10k-002 64 100000 10085 2.72454139812
_10k-002_65 10k-002 65 100000 12111 3.00635785649
_10k-002_66 10k-002 66 100000 11109 3.68530020704
_10k-002_67 10k-002 67 100000 12131 2.9211112027
_10k-002_68 10k-002 68 100000 8197 3.54446748811
_10k-002_69 10k-002 69 100000 12224 3.29810209424
_10k-002_70 10k-002 70 100000 11597 3.04647753729
_10k-002_71 10k-002 71 100000 8628 3.73898933704
_10k-002_72 10k-002 72 100000 11703 2.9588994275
_10k-002_73 10k-002 73 100000 7577 3.34485944305
_10k-002_74 10k-002 74 100000 10962 2.93386243386
_10k-002_75 10k-002 75 100000 13412 2.86579182821
_10k-002_76 10k-002 76 100000 7502 3.41668888296
_10k-002_77 10k-002 77 100000 15417 3.15573717325
_10k-002_78 10k-002 78 100000 9901 2.70457529542
_10k-002_79 10k-002 79 100000 9524 2.78643427131
_10k-002_80 10k-002 80 100000 11274 3.14573354621
_10k-02_51 10k-02 51 100000 712 44.5983146067
_10k-02_52 10k-02 52 100000 593 45.9123102867
_10k-02_53 10k-02 53 100000 1077 49.5933147632
_10k-02_54 10k-02 54 100000 1171 43.5414175918
_10k-02_55 10k-02 55 100000 512 44.1796875
_10k-02_56 10k-02 56 100000 524 49.4351145038
_10k-02_57 10k-02 57 100000 449 45.3429844098
_10k-02_58 10k-02 58 100000 1875 40.1093333333
_10k-02_59 10k-02 59 100000 1051 50.1056137012
_10k-02_60 10k-02 60 100000 515 45.7281553398
_10k-02_61 10k-02 61 100000 1074 44.5512104283
_10k-02_62 10k-02 62 100000 602 39.5
_10k-02_63 10k-02 63 100000 950 48.2378947368
_10k-02_64 10k-02 64 100000 829 46.138721351
_10k-02_65 10k-02 65 100000 607 41.7611202636
_10k-02_66 10k-02 66 100000 411 29.2530413625
_10k-02_67 10k-02 67 100000 558 44.353046595
_10k-02_68 10k-02 68 100000 1211 44.2138728324
_10k-02_69 10k-02 69 100000 937 45.8057630736
_10k-02_70 10k-02 70 100000 544 32.2224264706
_10k-02_71 10k-02 71 100000 1079 51.5477293791
_10k-02_72 10k-02 72 100000 1019 48.9362119725
